product_id,srp,promo_price,currency,promo_start_at,promo_end_at,is_current,updated_at
10000,35110,26335,PHP,,,true,2026-07-14T06:10:45
10001,19320,14490,PHP,,,true,2026-07-14T06:10:45
10002,22350,16765,PHP,,,true,2026-07-14T06:10:45
10003,43950,32965,PHP,,,true,2026-07-14T06:10:45
10004,7330,5500,PHP,,,true,2026-07-14T06:10:45
10006,10290,8340,PHP,,,true,2026-07-14T06:10:45
10007,10615,8605,PHP,,,true,2026-07-14T06:10:45
10008,13650,11065,PHP,,,true,2026-07-14T06:10:45
10009,13865,11240,PHP,,,true,2026-07-14T06:10:45
10010,13975,11330,PHP,,,true,2026-07-14T06:10:45
10011,14950,12120,PHP,,,true,2026-07-14T06:10:45
10012,14950,12120,PHP,,,true,2026-07-14T06:10:45
10013,18125,14695,PHP,,,true,2026-07-14T06:10:45
10014,23875,19355,PHP,,,true,2026-07-14T06:10:45
10015,28625,23205,PHP,,,true,2026-07-14T06:10:45
10016,28875,23410,PHP,,,true,2026-07-14T06:10:45
10017,22375,18140,PHP,,,true,2026-07-14T06:10:45
10018,29750,24120,PHP,,,true,2026-07-14T06:10:45
10019,15625,12665,PHP,,,true,2026-07-14T06:10:45
10020,36000,29185,PHP,,,true,2026-07-14T06:10:45
10021,31125,25235,PHP,,,true,2026-07-14T06:10:45
10022,32375,26250,PHP,,,true,2026-07-14T06:10:45
10023,34875,28275,PHP,,,true,2026-07-14T06:10:45
10024,23000,17250,PHP,,,true,2026-07-14T06:10:45
10027,9785,7340,PHP,,,true,2026-07-14T06:10:45
10029,4350,3265,PHP,,,true,2026-07-14T06:10:45
10031,29720,28720,PHP,,,true,2026-07-14T06:10:45
10032,15160,14160,PHP,,,true,2026-07-14T06:10:45
10039,4405,3305,PHP,,,true,2026-07-14T06:10:45
10040,19285,14465,PHP,,,true,2026-07-14T06:10:45
10041,9420,7065,PHP,,,true,2026-07-14T06:10:45
1011,15950,14950,PHP,,,true,2026-07-14T06:10:45
1014,10315,9315,PHP,,,true,2026-07-14T06:10:45
10221,9725,7295,PHP,,,true,2026-07-14T06:10:45
10222,4665,3500,PHP,,,true,2026-07-14T06:10:45
10223,4705,3530,PHP,,,true,2026-07-14T06:10:45
10234,9630,7225,PHP,,,true,2026-07-14T06:10:45
10239,8145,6110,PHP,,,true,2026-07-14T06:10:45
10241,5200,3900,PHP,,,true,2026-07-14T06:10:45
10242,6085,4565,PHP,,,true,2026-07-14T06:10:45
10243,6550,4915,PHP,,,true,2026-07-14T06:10:45
10244,8260,6195,PHP,,,true,2026-07-14T06:10:45
10271,3305,2480,PHP,,,true,2026-07-14T06:10:45
10272,3660,2745,PHP,,,true,2026-07-14T06:10:45
10273,3805,2855,PHP,,,true,2026-07-14T06:10:45
10274,4310,3235,PHP,,,true,2026-07-14T06:10:45
10275,3740,2805,PHP,,,true,2026-07-14T06:10:45
10276,4310,3235,PHP,,,true,2026-07-14T06:10:45
10278,4050,3040,PHP,,,true,2026-07-14T06:10:45
